,Major Account,Minor Account,Name,OrgID,amount
1,100,7,GMP BANK - CPRP,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
2,100,50,ACQUISITIONCO BANK,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
3,100,55,CASH - CONTRA ACCT,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
4,100,56,CONTRA ACCT - $USD,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
5,100,100,SCOTIA BANK - CPRP,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
6,100,101,SCOTIA BANK - CPRP - USD,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
7,100,105,SCOTIA BANK - CPEC,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
8,100,106,SCOTIA BANK - CPEC - USD,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
9,100,107,SCOTIA BANK - CPEC - HIGH INTEREST - USD,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
10,100,110,SCOTIA BANK - CPHI,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
11,100,111,SCOTIA BANK - CPHI USD,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
12,100,121,SCOTIA BANK - CPEUS CORP - CAD,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
13,100,122,SCOTIA BANK - CPEUS CORP - USD #2,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
14,100,123,SCOTIA BANK - CPEUS CORP - CAD - EXCALIB,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
15,100,127,SCOTIA BANK - CPUSH - USD,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
16,100,130,ING - LUXCO,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
17,100,131,SCOTIA BANK - LUXCO,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
18,100,135,CPEUS WELLS FARGO - $USD,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
19,100,140,BMO BANK - CPEC - BROKERAGE,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
20,110,5,A/R - JOINT VENTURE - OP,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
21,110,6,A/R - JOINT VENTURE - NON-OP,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
22,110,9,REVENUE - POOL PRICING - UNSUBLEDGERED,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
23,110,10,A/R - REVENUE - MARKETING,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
24,110,11,A/R - REVENUE - POOL PRICING,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
25,110,12,A/R - REVENUE - PROCESSING,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
26,110,13,ACCRUED REVENUE,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
27,110,15,A/R - LEASE RENTALS,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
28,110,20,A/R - CASH CALLS RECEIVABLE,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
29,110,21,A/R - OPERATING ADVANCE RECEIVABLE,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
30,110,30,A/R - OTHER,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
31,110,31,HR-MISCELLANEOUS,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
32,110,35,A/R ACCRUALS - FINANCIAL REPORTING,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
33,110,40,A/R - GST RECEIVABLE,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
34,110,44,A/R - GST RECEIVABLE (ORG 105),X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
35,110,55,A/R - ALLOWANCE FOR DOUBTFUL,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
36,110,60,A/R - ROYALTY INCOME RECEIVABLE,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
37,110,75,ACCRUED REALIZED HEDGING AR (FR ONLY),X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
38,110,998,AR JIB SUSPENSE,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
39,110,999,JIB CLEARING ACCOUNT,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
40,111,5,A/R - JOINT VENTURE - OP - USD,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
41,111,6,A/R - JOINT VENTURE - NON-OP - USD,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
42,111,10,A/R - REVENUE - MARKETING USD,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
43,111,11,A/R - REVENUE - POOL PRICING USD,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
44,111,13,ACCRUED REVENUE,X..91.CPG.US.ENTITIES.CANADIAN.GAAP,0
